shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,33.810725,-117.906049,24,1.6504327131632
1,33.809403,-117.906052,25,1.741769849171
1,33.808693,-117.906059,26,1.7908253757503
1,33.808131,-117.906139,27,1.8299246494267
1,33.807388,-117.906203,28,1.8813898421559
1,33.805955,-117.906434,29,1.9812800119871
1,33.806657,-117.908168,30,2.0920131828763
1,33.806253,-117.908353,31,2.1218777902463
1,33.80611,-117.908299,32,2.1322325260813
1,33.80601,-117.90813,33,2.14414312553
1,33.806,-117.907986,34,2.1524387507663
1,33.805997,-117.907963,35,2.153776083569
1,33.805986,-117.907581,36,2.1757193298627
1,33.805762,-117.907032,37,2.2108313463261
1,33.805264,-117.907062,38,2.2452812975666
1,33.805288,-117.908174,39,2.3091418233066
1,33.806047,-117.90816,40,2.3615873016512
1,33.80611,-117.908299,41,2.3706770774117
1,33.806253,-117.908353,42,2.3810318132468
1,33.806657,-117.908168,43,2.4108964206168
1,33.806953,-117.909092,44,2.4677472505073
1,33.807033,-117.910134,45,2.5278212104793
1,33.806246,-117.91017,46,2.5822342923441
1,33.806122,-117.910447,47,2.6002973892377
1,33.806095,-117.911492,48,2.660318386854
1,33.805671,-117.911472,49,2.6896350358002
1,33.805608,-117.911478,50,2.6940016841286
1,33.805112,-117.911385,51,2.7286837624805
1,33.805068,-117.910096,52,2.802746770066
1,33.803415,-117.910079,53,2.9169566938652
1,33.80341,-117.91313,54,3.0921162452635
1,33.803397,-117.914312,55,3.1599813444935
1,33.803387,-117.915212,56,3.2116553623342
1,33.809427,-117.915273,57,3.628973656857
1,33.809432,-117.915714,58,3.654292302543
1,33.809492,-117.915793,59,3.6604366081261
1,33.809661,-117.915844,60,3.6724741932439
1,33.809699,-117.915963,61,3.679792651037
1,33.809656,-117.91612,62,3.689282446549
1,33.809688,-117.916872,63,3.7325085301848
1,33.809724,-117.917002,64,3.7403748692622
2,33.799762,-117.918304,0,0
2,33.799762,-117.918582,1,0.015960812850579
2,33.799653,-117.918581,2,0.023491797112638
2,33.799675,-117.915088,3,0.22404096706735
2,33.80367,-117.915219,4,0.50015796329784
2,33.809431,-117.915275,5,0.89819843490841
2,33.809417,-117.915672,6,0.92100933562731
2,33.809484,-117.915756,7,0.92769365759765
2,33.809625,-117.915776,8,0.93750293275727
2,33.809705,-117.915895,9,0.94629024704514
2,33.809658,-117.916146,10,0.96106062839275
2,33.80971,-117.917004,11,1.0104460038576
3,33.80969,-117.917083,0,0
3,33.809603,-117.916874,1,0.013419301129228
3,33.809632,-117.916112,2,0.057208801612058
3,33.809417,-117.916092,3,0.072107600529634
3,33.809334,-117.915923,4,0.083377402069033
3,33.809326,-117.91541,5,0.11283217351429
3,33.804447,-117.915403,6,0.44992251870512
3,33.799774,-117.915251,7,0.77289799784097
3,33.799759,-117.9186,8,0.96517649767814
3,33.799449,-117.918564,9,0.98669390083317
3,33.799407,-117.918355,10,0.99903901165906
3,33.799409,-117.918291,11,1.0027156714826
3,33.799411,-117.918024,12,1.0180455412709
3,33.799649,-117.918015,13,1.0344970550616
3,33.799651,-117.917363,14,1.0719305705904
3,33.799892,-117.91736,15,1.0885820059728
3,33.800738,-117.917383,16,1.1470470616605
3,33.802034,-117.917413,17,1.2366042730823
3,33.802109,-117.91742,18,1.2418015125871
3,33.802399,-117.917517,19,1.2625971644141
3,33.80325,-117.917533,20,1.3213998799854
3,33.803261,-117.915388,21,1.4445478225614
3,33.801593,-117.915334,22,1.5598316122829
3,33.80155,-117.915599,23,1.5753330230566
3,33.801134,-117.915618,24,1.6040951461529
3,33.801125,-117.915638,25,1.6053995508902
3,33.800697,-117.915571,26,1.6352190935735
3,33.800677,-117.915318,27,1.6498098185341
3,33.799791,-117.915311,28,1.7110248571369
3,33.799769,-117.916096,29,1.7561195750506
3,33.799761,-117.917355,30,1.8284045097458
3,33.799648,-117.917365,31,1.8362327162971
3,33.799668,-117.915089,32,1.9669118724531
3,33.801397,-117.915137,33,2.0864002700904
3,33.80367,-117.915219,34,2.2435123767061
4,33.809677,-117.917055,0,0
4,33.809605,-117.916894,1,0.010495913713056
4,33.809592,-117.916118,2,0.055052238370501
4,33.809454,-117.916135,3,0.064636527381906
4,33.809348,-117.916011,4,0.074849666918122
4,33.809307,-117.915784,5,0.088185215267432
4,33.809307,-117.91542,6,0.10908110015226
4,33.806872,-117.915407,7,0.27731689499463
4,33.806897,-117.910135,8,0.57997731511514
4,33.806238,-117.910185,9,0.62559804878597
4,33.806092,-117.910458,10,0.64423623725699
4,33.806098,-117.911493,11,0.70365560851375
4,33.805646,-117.911481,12,0.7348919460567
4,33.805619,-117.911479,13,0.73676101273188
4,33.805119,-117.91142,14,0.77147167203708
4,33.805094,-117.910548,15,0.8215624171989
4,33.804989,-117.910109,16,0.84778845682422
4,33.803262,-117.910082,17,0.96711693734245
4,33.803242,-117.906714,18,1.1604805664866
4,33.803107,-117.906578,19,1.1726443837196
4,33.796131,-117.906372,20,1.6547613089219
4,33.788901,-117.906176,21,2.154408763451
4,33.788853,-117.902542,22,2.3631000334873
4,33.788856,-117.897514,23,2.6518088344509
4,33.787593,-117.897496,24,2.7390755988959
4,33.782953,-117.897473,25,3.0596559243168
4,33.782944,-117.895112,26,3.1952357778626
4,33.7825,-117.895134,27,3.2259377057036
4,33.782508,-117.894019,28,3.2899683275455
4,33.782632,-117.894063,29,3.2989001693881
4,33.782672,-117.89409,30,3.3020690516332
4,33.782977,-117.894133,31,3.3232857637629
4,33.783094,-117.894144,32,3.3313938786422
4,33.783228,-117.894076,33,3.3414418111472
4,33.783358,-117.894052,34,3.3505289069696
4,33.783356,-117.895121,35,3.4119151654319
4,33.782311,-117.895133,36,3.4841175000577
4,33.781896,-117.895266,37,3.5137895381802
4,33.780669,-117.895255,38,3.5985653191089
4,33.780473,-117.895165,39,3.6130596208896
4,33.78028,-117.894973,40,3.6303618911362
4,33.780116,-117.894455,41,3.6621934639087
4,33.780115,-117.894309,42,3.670577953265
4,33.779407,-117.89456,43,3.7215731480355
4,33.779364,-117.89418,44,3.7435964834795
4,33.779666,-117.891594,45,3.8935599362546
4,33.779977,-117.890079,46,3.9831748245806
4,33.779999,-117.888913,47,4.0501509635025
4,33.779248,-117.888934,48,4.1020515732787
4,33.778611,-117.889055,49,4.1466071170093
4,33.778036,-117.88927,50,4.1882082912694
4,33.775698,-117.89034,51,4.3610336419937
4,33.775704,-117.890858,52,4.3907847287117
4,33.775812,-117.890818,53,4.3985920166875
4,33.775884,-117.891002,54,4.4102711885699
4,33.775891,-117.891017,55,4.4112582335713
4,33.775997,-117.891371,56,4.4328668879554
4,33.77564,-117.891381,57,4.4575387119199
4,33.775629,-117.890379,58,4.5150876921432
4,33.774352,-117.890728,59,4.6055635911611
4,33.774441,-117.891341,60,4.6413010856681
4,33.774477,-117.892225,61,4.6921299330023
4,33.774465,-117.896884,62,4.9596968267833
4,33.77447,-117.897273,63,4.9820396725192
4,33.774528,-117.897368,64,4.9888090826234
4,33.774533,-117.900796,65,5.1856787280026
4,33.774518,-117.901124,66,5.204544313205
4,33.774447,-117.901269,67,5.2142092213476
4,33.774426,-117.902213,68,5.2684423817798
4,33.774436,-117.902634,69,5.2926302355144
4,33.774503,-117.902811,70,5.3037997115648
4,33.774517,-117.907945,71,5.5986459429042
4,33.774721,-117.907956,72,5.6127543742357
4,33.774719,-117.908274,73,5.6310175647767
4,33.774717,-117.908296,74,5.6322881884078
4,33.774722,-117.908614,75,5.6505540460257
4,33.775009,-117.908616,76,5.6703830547044
4,33.775112,-117.908554,77,5.6783402100244
4,33.77533,-117.908552,78,5.6934021785485
4,33.775356,-117.908267,79,5.7098677510705
4,33.775387,-117.9082,80,5.7142712962792
4,33.775399,-117.907901,81,5.7314626055426
4,33.775307,-117.907887,82,5.7378697148572
4,33.774716,-117.907889,83,5.7787020822592
4,33.774648,-117.907966,84,5.7851541087227
4,33.774508,-117.907968,85,5.7948271137654
4,33.774478,-117.914827,86,6.1887437154005
4,33.776958,-117.914862,87,6.3600986995109
4,33.777106,-117.9149,88,6.3705542572699
4,33.777235,-117.915029,89,6.3821437076667
4,33.777686,-117.91482,90,6.4155350601412
